,MNIST_DCGAN_,MNIST_WGAN_,MNIST_WGAN_GP_,MNIST_SN_WGAN_,FashionMNIST_DCGAN_,FashionMNIST_WGAN_,FashionMNIST_WGAN_GP_,FashionMNIST_SN_WGAN_,CIFAR_DCGAN_,CIFAR_WGAN_,CIFAR_WGAN_GP_,CIFAR_SN_WGAN_
0,304.3713073730469,265.2093811035156,214.21566772460938,271.99072265625,272.375,233.66021728515625,250.4512481689453,249.89181518554688,31.01051139831543,20.532230377197266,33.148902893066406,44.86574172973633
1,280.5746765136719,268.5937194824219,216.76071166992188,272.46893310546875,272.4613952636719,232.85313415527344,253.1762237548828,216.0459442138672,44.65960693359375,38.57669448852539,49.112937927246094,38.16910934448242
2,279.07208251953125,255.1571807861328,221.64077758789062,273.70880126953125,274.2615966796875,229.57376098632812,234.22323608398438,216.52711486816406,41.5965576171875,31.899028778076172,13.460375785827637,55.480682373046875
3,294.79718017578125,250.86700439453125,222.61361694335938,276.0191955566406,300.84735107421875,220.183837890625,215.40512084960938,227.29515075683594,40.691349029541016,30.28388023376465,44.32423400878906,46.8234748840332
4,292.50738525390625,249.54298400878906,228.4178924560547,268.7387390136719,288.0994873046875,221.07528686523438,216.1753692626953,229.58445739746094,41.20153045654297,31.62095832824707,53.40321731567383,53.4870719909668
5,291.36175537109375,244.75367736816406,226.9874725341797,267.65521240234375,285.2660827636719,285.48565673828125,220.06886291503906,255.6703338623047,39.558231353759766,33.540714263916016,46.03207015991211,19.202606201171875
6,296.9183349609375,245.2899169921875,227.76519775390625,265.29461669921875,283.6324768066406,285.59033203125,232.91709899902344,268.1273498535156,29.733510971069336,32.8795166015625,17.2952823638916,46.247039794921875
7,294.0694885253906,244.42068481445312,227.5260009765625,265.6084899902344,290.6192321777344,272.283447265625,233.14402770996094,268.10894775390625,44.85236740112305,32.28327560424805,40.14155578613281,29.675390243530273
8,290.5025634765625,244.6621551513672,227.7811279296875,261.19268798828125,284.5274353027344,274.30804443359375,233.44052124023438,269.2589111328125,41.5965576171875,30.793378829956055,43.33155059814453,22.945083618164062
9,279.29693603515625,248.3498992919922,226.7378387451172,261.3643493652344,284.7766418457031,273.0262145996094,234.31503295898438,256.3685302734375,42.091068267822266,29.59889793395996,38.01906967163086,25.632347106933594
